Container,Timestamp,Value
mn.device-6,2026-07-02 09:27:07,22138880
mn.device-6,2026-07-02 09:27:22,22163456
mn.device-6,2026-07-02 09:27:37,22163456
mn.device-6,2026-07-02 09:27:52,22687744
mn.device-6,2026-07-02 09:28:07,22163456
mn.device-6,2026-07-02 09:28:22,22163456
mn.device-6,2026-07-02 09:28:37,22163456
mn.device-6,2026-07-02 09:28:52,22687744
mn.device-6,2026-07-02 09:29:07,22167552
mn.device-6,2026-07-02 09:29:22,22167552
mn.device-6,2026-07-02 09:29:37,22167552
mn.device-6,2026-07-02 09:29:52,22167552
mn.device-6,2026-07-02 09:30:07,22167552
mn.device-6,2026-07-02 09:30:22,22429696
mn.device-6,2026-07-02 09:30:37,22171648
mn.device-6,2026-07-02 09:30:52,22175744
mn.device-6,2026-07-02 09:31:07,22175744
mn.device-6,2026-07-02 09:31:22,22175744
mn.device-6,2026-07-02 09:31:37,22175744
mn.device-6,2026-07-02 09:31:52,22175744
mn.device-6,2026-07-02 09:32:07,22183936
mn.device-6,2026-07-02 09:32:22,22429696
mn.device-6,2026-07-02 09:32:37,22175744
mn.device-6,2026-07-02 09:32:52,22163456
mn.device-6,2026-07-02 09:33:07,22163456
mn.device-6,2026-07-02 09:33:22,22159360
mn.device-6,2026-07-02 09:33:37,22159360
mn.device-6,2026-07-02 09:33:52,22155264
mn.device-6,2026-07-02 09:34:07,22155264
mn.device-82,2026-07-02 09:24:22,1601536
mn.device-82,2026-07-02 09:24:37,1601536
mn.device-82,2026-07-02 09:24:52,1601536
mn.device-82,2026-07-02 09:25:07,1601536
mn.device-82,2026-07-02 09:25:22,1601536
mn.device-82,2026-07-02 09:25:37,1601536
mn.device-82,2026-07-02 09:25:52,1601536
mn.device-82,2026-07-02 09:26:07,1601536
mn.device-82,2026-07-02 09:26:22,1601536
mn.device-82,2026-07-02 09:26:37,21770240
mn.device-82,2026-07-02 09:26:52,21770240
mn.device-82,2026-07-02 09:27:07,22200320
mn.device-82,2026-07-02 09:27:22,22462464
mn.device-82,2026-07-02 09:27:37,22204416
mn.device-82,2026-07-02 09:27:52,22204416
mn.device-82,2026-07-02 09:28:07,22204416
mn.device-82,2026-07-02 09:28:22,22204416
mn.device-82,2026-07-02 09:28:37,22224896
mn.device-82,2026-07-02 09:28:52,22224896
mn.device-82,2026-07-02 09:29:07,22224896
mn.device-82,2026-07-02 09:29:22,22228992
mn.device-82,2026-07-02 09:29:37,22224896
mn.device-82,2026-07-02 09:29:52,22224896
mn.device-82,2026-07-02 09:30:07,22224896
mn.device-82,2026-07-02 09:30:22,22237184
mn.device-82,2026-07-02 09:30:37,22237184
mn.device-82,2026-07-02 09:30:52,22237184
mn.device-82,2026-07-02 09:31:07,22237184
mn.device-82,2026-07-02 09:31:22,22237184
mn.device-82,2026-07-02 09:31:37,22237184
mn.device-82,2026-07-02 09:31:52,22237184
mn.device-82,2026-07-02 09:32:07,22237184
mn.device-82,2026-07-02 09:32:22,22745088
mn.device-82,2026-07-02 09:32:37,22228992
mn.device-82,2026-07-02 09:32:52,22212608
mn.device-82,2026-07-02 09:33:07,22212608
mn.device-82,2026-07-02 09:33:22,22220800
mn.device-82,2026-07-02 09:33:37,22220800
mn.device-82,2026-07-02 09:33:52,22208512
mn.device-82,2026-07-02 09:34:07,22208512
mn.device-60,2026-07-02 09:24:22,1601536
mn.device-60,2026-07-02 09:24:37,1601536
mn.device-60,2026-07-02 09:24:52,1601536
mn.device-60,2026-07-02 09:25:07,1601536
mn.device-60,2026-07-02 09:25:22,1601536
mn.device-60,2026-07-02 09:25:37,1601536
mn.device-60,2026-07-02 09:25:52,1601536
mn.device-60,2026-07-02 09:26:07,1601536
mn.device-60,2026-07-02 09:26:22,22269952
mn.device-60,2026-07-02 09:26:37,22192128
mn.device-60,2026-07-02 09:26:52,22192128
mn.device-60,2026-07-02 09:27:07,22130688
mn.device-60,2026-07-02 09:27:22,22134784
mn.device-60,2026-07-02 09:27:37,22134784
mn.device-60,2026-07-02 09:27:52,22138880
mn.device-60,2026-07-02 09:28:07,22159360
mn.device-60,2026-07-02 09:28:22,22159360
mn.device-60,2026-07-02 09:28:37,22159360
mn.device-60,2026-07-02 09:28:52,22159360
mn.device-60,2026-07-02 09:29:07,22159360
mn.device-60,2026-07-02 09:29:22,22159360
mn.device-60,2026-07-02 09:29:37,22163456
mn.device-60,2026-07-02 09:29:52,22163456
mn.device-60,2026-07-02 09:30:07,22163456
mn.device-60,2026-07-02 09:30:22,22163456
mn.device-60,2026-07-02 09:30:37,22163456
mn.device-60,2026-07-02 09:30:52,22163456
mn.device-60,2026-07-02 09:31:07,22163456
mn.device-60,2026-07-02 09:31:22,22167552
mn.device-60,2026-07-02 09:31:37,22171648
mn.device-60,2026-07-02 09:31:52,22171648
mn.device-60,2026-07-02 09:32:07,22171648
mn.device-60,2026-07-02 09:32:22,22163456
mn.device-60,2026-07-02 09:32:37,22163456
mn.device-60,2026-07-02 09:32:52,22159360
mn.device-60,2026-07-02 09:33:07,22159360
mn.device-60,2026-07-02 09:33:22,22155264
mn.device-60,2026-07-02 09:33:37,22155264
mn.device-60,2026-07-02 09:33:52,22147072
mn.device-60,2026-07-02 09:34:07,22147072
mn.device-35,2026-07-02 09:24:22,1605632
mn.device-35,2026-07-02 09:24:37,1605632
mn.device-35,2026-07-02 09:24:52,1605632
mn.device-35,2026-07-02 09:25:07,1605632
mn.device-35,2026-07-02 09:25:22,1605632
mn.device-35,2026-07-02 09:25:37,1605632
mn.device-35,2026-07-02 09:25:52,1605632
mn.device-35,2026-07-02 09:26:07,22495232
mn.device-35,2026-07-02 09:26:22,22237184
mn.device-35,2026-07-02 09:26:37,22499328
mn.device-35,2026-07-02 09:26:52,22237184
mn.device-35,2026-07-02 09:27:07,22175744
mn.device-35,2026-07-02 09:27:22,22175744
mn.device-35,2026-07-02 09:27:37,22204416
mn.device-35,2026-07-02 09:27:52,22204416
mn.device-35,2026-07-02 09:28:07,22462464
mn.device-35,2026-07-02 09:28:22,22204416
mn.device-35,2026-07-02 09:28:37,22466560
mn.device-35,2026-07-02 09:28:52,22204416
mn.device-35,2026-07-02 09:29:07,22466560
mn.device-35,2026-07-02 09:29:22,22208512
mn.device-35,2026-07-02 09:29:37,22208512
mn.device-35,2026-07-02 09:29:52,22208512
mn.device-35,2026-07-02 09:30:07,22208512
mn.device-35,2026-07-02 09:30:22,22208512
mn.device-35,2026-07-02 09:30:37,22208512
mn.device-35,2026-07-02 09:30:52,22212608
mn.device-35,2026-07-02 09:31:07,23257088
mn.device-35,2026-07-02 09:31:22,22216704
mn.device-35,2026-07-02 09:31:37,23257088
mn.device-35,2026-07-02 09:31:52,22216704
mn.device-35,2026-07-02 09:32:07,22216704
mn.device-35,2026-07-02 09:32:22,22208512
mn.device-35,2026-07-02 09:32:37,22474752
mn.device-35,2026-07-02 09:32:52,22204416
mn.device-35,2026-07-02 09:33:07,22204416
mn.device-35,2026-07-02 09:33:22,22200320
mn.device-35,2026-07-02 09:33:37,22196224
mn.device-35,2026-07-02 09:33:52,22192128
mn.device-35,2026-07-02 09:34:07,22196224
mn.device-15,2026-07-02 09:24:22,1601536
mn.device-15,2026-07-02 09:24:37,1601536
mn.device-15,2026-07-02 09:24:52,1601536
mn.device-15,2026-07-02 09:25:07,1601536
mn.device-15,2026-07-02 09:25:22,1601536
